python: can't open file '/home/esaccar/GAN-Leaks/python': [Errno 2] No such file or directory
wandb: Currently logged in as: carlo_saccardi (thesis_carlo). Use `wandb login --relogin` to force relogin
wandb: wandb version 0.14.2 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.0
wandb: Run data is saved locally in /home/esaccar/GAN-Leaks/wandb/run-20230418_114721-1rppuu8k
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run dutiful-snowflake-17
wandb: ⭐️ View project at https://wandb.ai/thesis_carlo/privDCGAN
wandb: 🚀 View run at https://wandb.ai/thesis_carlo/privDCGAN/runs/1rppuu8k
/opt/conda/envs/THESIS/lib/python3.10/site-packages/torch/nn/modules/container.py:139: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
Namespace(lr=0.0002, batch_size=128, image_size=64, nc=3, nz=100, ngf=64, ndf=64, input_size=64, num_epochs=300, disc_epochs=50, dp_delay=100, out_size=None, beta1=0.5, beta2=0.999, data_name='celebAhuge', wandb='privDCGAN', local_config='gan_models/dcgan/dcgan_config.yaml', PATH='/home/esaccar/GAN-Leaks/model_save/privDCGAN', PATH_syn_data='/home/esaccar/GAN-Leaks/syn_data/privDCGAN', save_model=True, saved_model_name=None, training=True, generate=True, N_splits=2, privacy_ratio=0.5)
Epoch 45 of 300 complete. Loss D: 0.4451512686908245, Loss DP: 0.0, Loss G: 0.9559235170483589
Epoch 46 of 300 complete. Loss D: 0.49218822047114374, Loss DP: 0.0, Loss G: 0.957209962233901
Epoch 47 of 300 complete. Loss D: 0.4523455614224076, Loss DP: 0.0, Loss G: 0.9276025727391243
Epoch 48 of 300 complete. Loss D: 0.4746428828686476, Loss DP: 0.0, Loss G: 0.9166437342762948
Epoch 49 of 300 complete. Loss D: 0.47743194457143545, Loss DP: 0.0, Loss G: 0.9140411365777255
Epoch 50 of 300 complete. Loss D: 0.43871151134371755, Loss DP: 0.0, Loss G: 0.9782662048935891
Epoch 51 of 300 complete. Loss D: 0.4650744002312422, Loss DP: 0.0, Loss G: 0.9388267159461975
Epoch 52 of 300 complete. Loss D: 0.4401319338940084, Loss DP: 0.0, Loss G: 0.9676023736596108
Epoch 53 of 300 complete. Loss D: 0.46133924666792153, Loss DP: 0.0, Loss G: 0.9672168642282486
Epoch 54 of 300 complete. Loss D: 0.4498946154490113, Loss DP: 0.0, Loss G: 0.9918843880295753
Epoch 55 of 300 complete. Loss D: 0.4463057205080986, Loss DP: 0.0, Loss G: 1.013714073598385
Epoch 56 of 300 complete. Loss D: 0.46352976374328136, Loss DP: 0.0, Loss G: 0.9940515451133252
Epoch 57 of 300 complete. Loss D: 0.4083632331341505, Loss DP: 0.0, Loss G: 0.9828800618648529
Epoch 58 of 300 complete. Loss D: 0.4572112368419766, Loss DP: 0.0, Loss G: 0.9863951072096825
Epoch 59 of 300 complete. Loss D: 0.4335254389792681, Loss DP: 0.0, Loss G: 0.9827617846429348
Epoch 60 of 300 complete. Loss D: 0.4193017348647118, Loss DP: 0.0, Loss G: 0.9613175265491009
Epoch 61 of 300 complete. Loss D: 0.44666177220642567, Loss DP: 0.0, Loss G: 0.9621766433119774
Epoch 62 of 300 complete. Loss D: 0.4203401882201433, Loss DP: 0.0, Loss G: 1.0391770476475357
Epoch 63 of 300 complete. Loss D: 0.43021744303405285, Loss DP: 0.0, Loss G: 1.0063329920172692
Epoch 64 of 300 complete. Loss D: 0.4284236505627632, Loss DP: 0.0, Loss G: 1.0164341419935226
Epoch 65 of 300 complete. Loss D: 0.416947827488184, Loss DP: 0.0, Loss G: 1.020733606815338
Epoch 66 of 300 complete. Loss D: 0.3846339273266494, Loss DP: 0.0, Loss G: 1.0192303970456122
Epoch 67 of 300 complete. Loss D: 0.43311089724302293, Loss DP: 0.0, Loss G: 1.0168374270200728
Epoch 68 of 300 complete. Loss D: 0.42605315111577513, Loss DP: 0.0, Loss G: 1.0492649778723717
Epoch 69 of 300 complete. Loss D: 0.38544522877782583, Loss DP: 0.0, Loss G: 1.0197520717978477
Epoch 70 of 300 complete. Loss D: 0.3913797658868134, Loss DP: 0.0, Loss G: 1.040718149393797
Epoch 71 of 300 complete. Loss D: 0.3743116419762373, Loss DP: 0.0, Loss G: 1.025819218158722
Epoch 72 of 300 complete. Loss D: 0.445334355160594, Loss DP: 0.0, Loss G: 1.0434052906930447
Epoch 73 of 300 complete. Loss D: 0.38111818172037604, Loss DP: 0.0, Loss G: 1.0930006422102452
Epoch 74 of 300 complete. Loss D: 0.3671393462456763, Loss DP: 0.0, Loss G: 1.1037737354636192
Epoch 75 of 300 complete. Loss D: 0.35486095380038024, Loss DP: 0.0, Loss G: 1.1612148150801658
Epoch 76 of 300 complete. Loss D: 0.3686713293194771, Loss DP: 0.0, Loss G: 1.1122943349182606
Epoch 77 of 300 complete. Loss D: 0.36516588954254986, Loss DP: 0.0, Loss G: 1.117362906038761
